ID,Year_Birth,Education,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,IncomeRaw,Living_With,Children,Family_Size,Is_Parent,TotalSpend,TotalPurchases,AvgPurchaseValue,RecencyYears,CustomerSinceYears,AvgFrequencyRate,CustomerValue,CLV,Churn,IncomeBracket,AgeGroup,Segment,SatisfactionScore,ChurnScore,PredictedSatisfaction_RF,PredictedSatisfaction_GB
5524,1967,Graduate,0.5036248705403378,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,1,58138.0,Alone,0,1,0,1617,25,64.68,0.1589041095890411,7.046575342465754,3.5478227060653182,229.4731726283048,1428.073295079958,0,High,Senior,2,8.296732390569465,0.0,8.063211732826925,8.078488903782809
2125,1969,Graduate,0.5473286668333274,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,63033.0,Alone,0,1,0,1102,16,68.875,0.2246575342465753,5.7835616438356166,2.7664613927048793,190.54002842254857,1185.7818633761046,0,High,Middle-Aged,2,4.33951052123902,0.1,4.847175071217764,4.408960315688357
2114,1956,Postgraduate,0.7238134352344558,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,1,82800.0,Alone,0,1,0,1315,26,50.57692307692308,0.0630136986301369,6.92054794520548,3.756927949326999,190.013855898654,1182.5073501884744,0,High,Senior,2,8.909759689234921,0.0,8.826203026315453,8.775202534260368
6565,1959,Postgraduate,0.6719849291096746,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,76995.0,Partner,1,3,1,1782,26,68.53846153846153,0.2493150684931507,6.394520547945206,4.065981148243359,278.6760925449871,1734.2763042081142,0,High,Senior,2,5.333626116294784,0.1,5.064518667389752,5.239018933430088
1966,1975,Postgraduate,0.7400449983929145,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,84618.0,Partner,0,2,0,1672,26,64.3076923076923,0.2630136986301369,5.726027397260274,4.54066985645933,292.0,1817.1945652173913,0,High,Middle-Aged,2,5.109225182803289,0.1,4.997677763654654,5.096992998192676
8755,1956,Postgraduate,0.5975411592443126,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,68657.0,Partner,0,2,0,1196,18,66.44444444444444,0.010958904109589,6.7315068493150685,2.673992673992674,177.67195767195764,1105.7003968253966,0,High,Senior,2,6.418604117629105,0.1,6.444193948953391,6.397972515027212
8601,1990,Graduate,0.6989125388378986,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,80011.0,Partner,1,3,1,1395,21,66.42857142857143,0.0082191780821917,6.547945205479452,3.207112970711297,213.0439330543933,1325.829716777333,0,High,Young,2,6.801130382575426,0.1,6.492561117176283,6.579715631491341
1371,1986,Graduate,0.69828756115853,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,79941.0,Alone,0,1,0,984,16,61.5,0.1972602739726027,5.1945205479452055,3.080168776371308,189.43037974683543,1178.8762211062192,0,High,Middle-Aged,2,4.4684442716515145,0.1,4.749119518139853,4.56701819787943
4114,1974,Postgraduate,0.691162815613728,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,79143.0,Partner,0,2,0,1693,29,58.37931034482759,0.0054794520547945,7.265753424657534,3.9913273001508296,233.0109351432881,1450.089743077415,0,High,Middle-Aged,2,7.56091445787254,0.1,6.556470609247283,7.203811015408794
2225,1987,Graduate,0.7218670761758508,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,0,1,82582.0,Alone,0,1,0,1617,21,77.0,0.147945205479452,5.301369863013699,3.9612403100775193,305.015503875969,1898.1935477755308,0,High,Middle-Aged,2,8.166118961786703,0.0,8.131268399138408,8.07927767600395
