ID,Year_Birth,Education,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,IncomeRaw,Living_With,Children,Family_Size,Is_Parent,TotalSpend,TotalPurchases,AvgPurchaseValue,RecencyYears,CustomerSinceYears,AvgFrequencyRate,CustomerValue,CLV,Churn,IncomeBracket,AgeGroup,Segment,SatisfactionScore,ChurnScore,PredictedSatisfaction_RF,PredictedSatisfaction_GB
4141,1975,Graduate,0.6239330738187921,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,71613.0,Partner,0,2,0,776,21,36.95238095238095,0.0712328767123287,6.1726027397260275,3.4021304926764313,125.71682201509095,782.3696086377582,0,High,Middle-Aged,1,5.661947931199556,0.1,5.939617996586711,5.735212294226117
5324,1991,Postgraduate,0.5050087496875111,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,58293.0,Partner,1,3,1,422,19,22.210526315789473,0.2575342465753424,5.572602739726028,3.409537856440511,75.7276302851524,471.273418462229,0,High,Young,1,3.5774056220473764,0.25,3.823016878696966,3.623794619587518
7446,1977,Postgraduate,0.5426859755008749,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,62513.0,Partner,1,3,1,716,22,32.54545454545455,0.0438356164383561,6.147945205479452,3.57843137254902,116.46167557932264,724.7723421878633,0,High,Middle-Aged,1,5.90248401898692,0.1,6.193703975783842,6.097931498197974
965,1981,Graduate,0.4812774543766294,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,55635.0,Alone,1,2,1,590,21,28.095238095238095,0.0931506849315068,6.920547945205479,3.0344418052256534,85.25336500395883,530.554628601673,0,Middle,Middle-Aged,1,5.293442883868471,0.1,5.129195570859625,5.086812712351408
8180,1962,Postgraduate,0.5144816256562265,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,59354.0,Alone,2,3,1,310,15,20.666666666666668,0.1452054794520547,5.863013698630137,2.5584112149532707,52.87383177570093,329.04808131856964,0,High,Senior,1,4.231034024343455,0.1,4.021258303948066,4.326375815396721
5376,1989,Graduate,0.0064015570872468,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,2447.0,Partner,1,3,1,1730,43,40.23255813953488,0.1150684931506849,6.75068493150685,6.369724025974025,256.2702922077922,1594.8389802283314,0,Low,Young,1,7.42750702750801,0.1,6.023995739833906,6.5464449545282655
1993,1959,Postgraduate,0.5078122209921073,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,0,58607.0,Partner,1,3,1,972,17,57.1764705882353,0.1726027397260274,6.7315068493150685,2.5254375254375256,144.3956043956044,898.6126970855232,0,High,Senior,1,4.7303450489534065,0.1,4.904401180911935,4.839596700531183
4047,1964,Postgraduate,0.5677832934538052,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,65324.0,Partner,1,3,1,544,20,27.2,0.0,5.852054794520548,3.417602996254682,92.95880149812734,578.5076331216414,0,High,Senior,1,6.011249338626642,0.1,5.4709885938734955,5.9956917007426105
1409,1961,Graduate,0.3478357915788722,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,40689.0,Partner,1,3,1,444,20,22.2,0.1890410958904109,6.482191780821918,3.0853761622992395,68.49535080304311,426.26499733544046,0,Middle,Senior,1,4.256448377440936,0.1,4.227233316170974,4.339222325315271
4339,1980,Postgraduate,0.585898717902932,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,67353.0,Partner,1,3,1,913,28,32.607142857142854,0.1013698630136986,5.780821917808219,4.843601895734597,157.93601895734596,982.8783400731504,0,High,Middle-Aged,1,5.923930644031703,0.1,5.845277925453566,5.896403041621145
2968,1953,Postgraduate,0.4215742294918038,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,0,1,48948.0,Alone,0,1,0,902,24,37.583333333333336,0.1452054794520547,6.64931506849315,3.609394313967862,135.65306963329215,844.205551002311,0,Middle,Senior,1,7.683676414468421,0.0,7.572977519319454,7.448504913684292
6566,1964,Postgraduate,0.6322988464697689,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,72550.0,Partner,2,4,1,1319,28,47.107142857142854,0.1068493150684931,6.920547945205479,4.045922406967538,190.59184481393507,1186.1043307213672,0,High,Senior,1,6.260030189146123,0.1,5.953892669927654,6.242752002058727
8614,1967,Graduate,0.5692296703689154,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,65486.0,Alone,1,2,1,507,17,29.823529411764707,0.0794520547945205,5.441095890410959,3.124370594159114,93.1797583081571,579.8827068008669,0,High,Senior,1,5.10834232746477,0.1,5.1742269504017795,5.264741614941355
9381,1988,Graduate,0.5771490303917717,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,66373.0,Partner,2,4,1,606,23,26.347826086956523,0.1561643835616438,6.27945205479452,3.6627399650959864,96.50523560209426,600.5780467505123,0,High,Middle-Aged,1,4.868623546591718,0.1,4.6318156572311135,4.964364095444232
10383,1976,Graduate,0.6120942109210384,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,1,70287.0,Alone,0,1,0,1093,21,52.04761904761905,0.0821917808219178,6.547945205479452,3.207112970711297,166.9225941422594,1038.8042153674733,0,High,Middle-Aged,1,8.247677588604569,0.0,8.378716739617476,8.183163974281983
8375,1978,Postgraduate,0.4841255669440377,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,55954.0,Partner,1,3,1,518,19,27.26315789473684,0.1726027397260274,5.53972602739726,3.429772502472799,93.50642927794264,581.9156681395949,0,Middle,Middle-Aged,1,4.41412716025586,0.1,4.475583793998052,4.6245280831478945
3076,1985,Graduate,0.579648941109246,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,66653.0,Partner,2,4,1,612,22,27.818181818181817,0.0493150684931506,7.147945205479452,3.0778075891146033,85.61901111536987,532.8301427333478,0,High,Middle-Aged,1,5.755942323122186,0.1,5.332300094386551,5.544875197817742
1012,1962,Graduate,0.5365254812328131,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,61823.0,Alone,1,2,1,884,24,36.833333333333336,0.0712328767123287,6.676712328767123,3.5945835043085763,132.40049240869925,823.9638877986122,0,High,Senior,1,5.93429548860922,0.1,6.006962977217579,5.836509665674378
6518,1961,Postgraduate,0.5888182564908395,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,67680.0,Alone,1,2,1,606,19,31.894736842105264,0.021917808219178,6.416438356164384,2.961144321093083,94.44491887275832,587.7561413971707,0,High,Senior,1,5.82072669850818,0.1,5.4572582224537705,5.885093989302214
4477,1968,Graduate,0.60146066211921,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,69096.0,Partner,1,3,1,653,18,36.27777777777778,0.010958904109589,6.131506849315068,2.9356568364611264,106.49910634495086,662.772593323814,0,High,Senior,1,5.904733149292477,0.1,5.485145446432929,5.908720845777773
