ID,Year_Birth,Education,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,IncomeRaw,Living_With,Children,Family_Size,Is_Parent,TotalSpend,TotalPurchases,AvgPurchaseValue,RecencyYears,CustomerSinceYears,AvgFrequencyRate,CustomerValue,CLV,Churn,IncomeBracket,AgeGroup,Segment,SatisfactionScore,ChurnScore
5524,1967,Graduate,0.5036248705403378,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,1,58138.0,Alone,0,1,0,1617,25,64.68,0.1589041095890411,7.046575342465754,3.5478227060653182,229.4731726283048,1428.073295079958,0,High,Senior,2,8.296732390569465,0.0
2174,1964,Graduate,0.3983250598192921,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,46344.0,Alone,2,3,1,27,6,4.5,0.1041095890410958,5.594520547945205,1.0724779627815868,4.826150832517141,30.03443514989567,1,Middle,Senior,0,3.813697449367427,0.5
4141,1975,Graduate,0.6239330738187921,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,71613.0,Partner,0,2,0,776,21,36.95238095238095,0.0712328767123287,6.1726027397260275,3.4021304926764313,125.71682201509095,782.3696086377582,0,High,Middle-Aged,1,5.661947931199556,0.1
6182,1994,Graduate,0.2224563408449698,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,26646.0,Partner,1,3,1,53,8,6.625,0.0712328767123287,5.698630136986301,1.403846153846154,9.30048076923077,57.87939420464047,1,Low,Young,0,4.240454561934761,0.5
5324,1991,Postgraduate,0.5050087496875111,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,58293.0,Partner,1,3,1,422,19,22.210526315789473,0.2575342465753424,5.572602739726028,3.409537856440511,75.7276302851524,471.273418462229,0,High,Young,1,3.5774056220473764,0.25
7446,1977,Postgraduate,0.5426859755008749,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,62513.0,Partner,1,3,1,716,22,32.54545454545455,0.0438356164383561,6.147945205479452,3.57843137254902,116.46167557932264,724.7723421878633,0,High,Middle-Aged,1,5.90248401898692,0.1
965,1981,Graduate,0.4812774543766294,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,55635.0,Alone,1,2,1,590,21,28.095238095238095,0.0931506849315068,6.920547945205479,3.0344418052256534,85.25336500395883,530.554628601673,0,Middle,Middle-Aged,1,5.293442883868471,0.1
6177,1995,Postgraduate,0.2832398842898468,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,33454.0,Partner,1,3,1,169,10,16.9,0.0876712328767123,6.443835616438356,1.5518707482993197,26.2266156462585,163.21528567269297,0,Middle,Young,0,4.319297025924607,0.1
4855,1984,Postgraduate,0.2555355165886933,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,1,30351.0,Partner,1,3,1,46,6,7.666666666666667,0.0520547945205479,6.3999999999999995,0.9375,7.187500000000001,44.72974636130137,0,Middle,Middle-Aged,0,6.670801679760306,0.4
5899,1960,Postgraduate,0.0349808935395164,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,0,0,5648.0,Partner,2,4,1,49,2,24.5,0.1863013698630137,5.498630136986302,0.3637269556552067,8.911310413552565,55.45748237148241,1,Low,Senior,0,2.8858513111835644,0.65
